ASV	Taxonomy	N_samples	N_occur	Percent_occur	Mean_reads	Min_reads	Min_detect_reads	Max_reads	Total_reads	Rel_abund
ASV068	Seriola quinqueradiata	261	2	 0.77	   27.6	0	2685	4508	7193	 0.0268
ASV069	Homo sapiens	261	8	 3.07	   12.3	0	2	1575	3200	 0.0119
ASV070	Rhinogobius sp.	261	4	 1.53	   26.4	0	907	3382	6892	 0.0257
ASV071	Rhinogobius sp.	261	2	 0.77	   25.3	0	1801	4807	6608	 0.0247
ASV072	Carassius cuvieri	261	4	 1.53	   20.8	0	523	2036	5424	 0.0202
ASV073	Misgurnus sp.	261	6	 2.30	   23.2	0	168	4254	6049	 0.0226
ASV074	Epinephelus akaara	261	1	 0.38	   21.7	0	5661	5661	5661	 0.0211
ASV075	Tribolodon hakonensis	261	3	 1.15	   21.4	0	228	3739	5578	 0.0208
ASV076	Lateolabrax japonicus	261	5	 1.92	   20.9	0	285	1982	5451	 0.0203
ASV077	Misgurnus sp.	261	2	 0.77	   16.4	0	212	4072	4284	 0.0160
ASV078	Rhinogobius brunneus	261	2	 0.77	   18.9	0	2083	2861	4944	 0.0185
ASV079	Silurus asotus	261	16	 6.13	   16.4	0	13	1448	4284	 0.0160
ASV080	Gnathopogon elongatus	261	7	 2.68	   14.1	0	115	1714	3692	 0.0138
ASV081	Rhinogobius brunneus	261	1	 0.38	   17.9	0	4675	4675	4675	 0.0174
ASV082	Gymnogobius petschiliensis	261	2	 0.77	   16.8	0	2152	2241	4393	 0.0164
ASV083	Cyprinus sp.	261	9	 3.45	   11.4	0	121	1065	2968	 0.0111
ASV084	Rhinogobius sp.	261	3	 1.15	   14.0	0	601	2410	3643	 0.0136
ASV085	Trachurus japonicus	261	2	 0.77	   11.6	0	1432	1597	3029	 0.0113
ASV086	Lateolabrax japonicus	261	2	 0.77	   11.2	0	387	2544	2931	 0.0109
ASV087	Rhinogobius sp.	261	3	 1.15	   10.9	0	86	2538	2843	 0.0106
ASV088	Takifugu sp.	261	2	 0.77	   10.7	0	262	2542	2804	 0.0105
ASV089	Misgurnus sp.	261	4	 1.53	    9.7	0	93	1968	2530	 0.0094
ASV090	Micropterus salmoides	261	3	 1.15	    9.5	0	6	2245	2470	 0.0092
ASV091	Acanthogobius flavimanus	261	3	 1.15	    8.9	0	185	1448	2321	 0.0087
ASV092	Nipponocypris temminckii	261	1	 0.38	    9.3	0	2417	2417	2417	 0.0090
ASV093	Rhinogobius sp.	261	8	 3.07	    9.7	0	93	534	2524	 0.0094
ASV094	Rhinogobius sp.	261	1	 0.38	    9.4	0	2444	2444	2444	 0.0091
ASV095	Zacco platypus	261	1	 0.38	    9.3	0	2423	2423	2423	 0.0090
ASV096	Sebastes sp.	261	1	 0.38	    7.7	0	2009	2009	2009	 0.0075
ASV097	Nipponocypris temminckii	261	1	 0.38	    7.0	0	1814	1814	1814	 0.0068
ASV098	Misgurnus anguillicaudatus	261	1	 0.38	    7.5	0	1960	1960	1960	 0.0073
ASV099	Carassius sp.	261	3	 1.15	    6.5	0	255	911	1688	 0.0063
ASV100	Cottus pollux	261	1	 0.38	    6.6	0	1728	1728	1728	 0.0064
ASV101	Rhodeus ocellatus	261	1	 0.38	    5.6	0	1473	1473	1473	 0.0055
ASV102	Gnathopogon elongatus	261	2	 0.77	    5.1	0	114	1206	1320	 0.0049
ASV103	Plecoglossus altivelis	261	4	 1.53	    3.2	0	127	329	832	 0.0031
ASV104	Acheilognathidae sp.	261	1	 0.38	    2.8	0	740	740	740	 0.0028
ASV105	Gymnogobius opperiens	261	1	 0.38	    2.7	0	712	712	712	 0.0027
ASV106	Misgurnus anguillicaudatus	261	1	 0.38	    2.5	0	665	665	665	 0.0025
