sample	initial	primtrim	qltfilter	dadafwds	dadarevs	dadamerge	lenfilter	chimremove	pct_remain
01-1	128821	127763	127517	127491	127427	126841	126813	113980	88.5%
01-2	87209	86399	85870	85804	85786	85562	85513	79635	91.3%
02-1	105069	104414	104268	104240	104216	103665	103661	98082	93.4%
02-2	117221	116568	116401	116383	116320	115935	115929	105611	90.1%
03-1	86477	85993	85872	85852	85782	85625	85620	82734	95.7%
03-2	120286	119581	119380	119364	119302	119079	119022	113347	94.2%
04-1	118832	118162	117610	117586	117476	117155	117155	113462	95.5%
04-2	112363	111336	111136	111078	111082	110882	110882	106335	94.6%
05-1	90689	90201	89875	89852	89828	89627	89615	88552	97.6%
05-2	81373	80477	79297	79258	79264	79010	78945	77180	94.8%
06-1	66185	65635	65438	65322	65355	65218	65200	64484	97.4%
06-2	119923	119276	119077	118992	119001	118903	118893	117505	98.0%
07-1	96989	96342	95494	95466	95435	95268	95266	93179	96.1%
07-2	89503	88653	88551	88537	88486	88453	88453	87252	97.5%
08-1	106164	105490	105276	105256	105198	105163	105160	103970	97.9%
08-2	89998	88500	87498	87487	87466	87431	87402	86531	96.1%
09-1	58	57	57	56	55	55	55	55	94.8%
09-2	119749	119109	119062	119056	119034	118756	118753	116061	96.9%
10-1	107511	106847	106591	106509	106516	106268	106263	102098	95.0%
10-2	86780	85863	85126	85025	84970	84722	84290	79803	92.0%
11-1	3	3	3	2	2	2	2	2	66.7%
11-2	119516	118857	118423	118409	118371	118234	118234	115263	96.4%
12-1	120024	119338	119203	119184	119146	118853	118847	114686	95.6%
12-2	101696	100996	100241	100192	100175	99816	99807	93759	92.2%
13-1	105141	104497	104012	103942	103866	103655	103574	99302	94.4%
13-2	106765	105491	105186	105146	105132	104969	104964	102077	95.6%
14-1	108108	107409	106930	106909	106660	106406	106389	102346	94.7%
14-2	120883	117902	117716	117482	117493	116655	116335	110336	91.3%
15-1	89863	88496	87872	87854	87800	87604	87560	83714	93.2%
15-2	111753	110153	108576	108454	108404	108008	107566	104295	93.3%
16-1	78608	76493	75847	75748	75600	75477	75032	72608	92.4%
16-2	100316	98126	96113	96083	96042	95779	95550	91282	91.0%
17-1	92214	90263	86303	86249	86233	85720	85685	82551	89.5%
17-2	95313	92641	90978	90882	90892	90454	90411	84789	89.0%
18-1	118687	116951	115559	115515	115486	115136	115131	109148	92.0%
18-2	110213	107583	106733	106645	106657	106085	106085	101122	91.8%
19-1	121016	118092	115581	115560	115503	115088	115072	108750	89.9%
19-2	112804	111248	110177	110155	110121	109898	109811	105512	93.5%
20-1	110594	108468	107665	107647	107606	107427	107427	97972	88.6%
20-2	90671	88040	86799	86774	86734	86529	86529	79420	87.6%
21-1	103232	101741	101537	101372	101371	101008	100975	85865	83.2%
21-2	118456	116042	115955	115862	115890	115495	115493	101280	85.5%
22-1	105699	103306	103002	102993	102938	102689	102689	99584	94.2%
22-2	114853	113935	113131	113110	113066	112772	112772	109214	95.1%
23-1	126104	125482	125278	125244	125122	124344	124344	119658	94.9%
23-2	87579	87118	87010	86993	86927	86667	86667	86331	98.6%
24-1	113115	112387	112017	111972	111927	111368	111368	106904	94.5%
24-2	143350	142588	142399	142372	142330	141453	141453	136052	94.9%
25-1	74046	73415	72630	72546	72521	71893	71893	65075	87.9%
25-2	64763	63388	63049	62994	62989	62586	62586	59407	91.7%
26-1	84230	83670	82060	81955	81879	81288	81258	75322	89.4%
26-2	74704	73465	72835	72715	72698	71878	71794	65725	88.0%
27-1	104115	103065	102831	102688	102699	101038	101038	89861	86.3%
27-2	93758	92531	90758	90543	90640	89295	89295	80371	85.7%
28-1	124761	123556	123027	122952	122890	121791	121787	103620	83.1%
28-2	116169	115359	114442	114384	114246	112953	112953	96588	83.1%
29-1	126094	123356	123121	123032	123032	122752	122752	117587	93.3%
29-2	112179	108991	107707	107675	107579	106652	106648	101498	90.5%
30-1	103630	102062	101605	101533	101509	100544	100544	85643	82.6%
30-2	109129	107624	107075	106968	106981	106041	106041	90385	82.8%
31-1	87138	85916	84565	84384	84487	83823	83597	80437	92.3%
31-2	139752	138564	138342	138321	138266	137861	137861	131439	94.1%
32-1	69	69	69	65	61	61	61	61	88.4%
32-2	142421	141102	140776	140746	140617	140425	140425	136628	95.9%
33-1	128115	127145	126453	126366	126351	125502	125502	117891	92.0%
33-2	89149	88423	87727	87675	87676	87006	87006	81852	91.8%
34-1	107011	104541	103656	103520	103514	102777	102777	96628	90.3%
34-2	95983	94889	94357	94300	94207	92926	92926	86998	90.6%
35-1	80510	78104	75477	75447	75412	75063	74995	71655	89.0%
35-2	81630	77414	75524	75423	75415	75154	75154	72958	89.4%
36-1	143201	142342	142125	141941	142041	141577	141548	129369	90.3%
36-2	125050	123756	123000	122954	122925	122604	122604	114239	91.4%
37-1	113889	113119	112979	112916	112864	112328	112328	102587	90.1%
37-2	69274	68171	63970	63679	63726	63264	63110	59675	86.1%
38-1	156873	155938	155412	155377	155330	155054	155054	142942	91.1%
38-2	96591	95349	95177	95067	95097	94683	94613	83287	86.2%
39-1	105920	104767	104501	104409	104413	104257	104257	103441	97.7%
39-2	139688	137904	137564	137511	137464	137388	137383	132956	95.2%
40-1	55252	53658	52297	52221	52238	52090	52090	48188	87.2%
