sample	initial	primtrim	qltfilter	dadafwds	dadarevs	dadamerge	lenfilter	chimremove	pct_remain
40-2	25040	24856	24264	24258	24245	24177	23542	23478	93.8%
41-1	973	947	344	296	253	253	230	230	23.6%
41-2	135171	133884	133541	133472	133417	133034	133034	128856	95.3%
42-1	121847	120898	120790	120759	120708	120262	120262	109860	90.2%
42-2	115958	115007	114371	114368	114337	112883	112883	99503	85.8%
43-1	156940	155841	155299	155221	155195	154671	154671	144671	92.2%
43-2	93612	93191	93020	92974	92965	92707	92702	87413	93.4%
44-1	135262	134502	133962	133748	133884	132881	132881	119033	88.0%
44-2	125745	124787	124030	123951	123898	122999	122999	108879	86.6%
NC01	2042	574	0	0	0	0	0	0	0.0%
NC02	26407	9609	9	1	2	0	0	0	0.0%
NC03	12048	5394	9	2	2	2	2	2	0.0%
NC04	5165	685	1	1	1	0	0	0	0.0%
NC05	13236	5371	9	1	2	0	0	0	0.0%
NTC01	8643	5036	6	2	2	0	0	0	0.0%
NTC02	2946	2117	3	1	1	0	0	0	0.0%
NTC03	730	90	5	2	2	0	0	0	0.0%
NTC04	18013	4941	7	1	1	0	0	0	0.0%
NTC05	9804	2021	0	0	0	0	0	0	0.0%
NTC06	19184	7576	195	185	185	185	185	185	1.0%
NTC07	11597	3862	7	3	3	3	3	3	0.0%
NTC08	1438	422	2	1	1	0	0	0	0.0%
NTC09	7790	4828	9	4	3	3	3	3	0.0%
NTC10	8014	5210	7	1	2	0	0	0	0.0%
Undetermined	0	0	0	0	0	0	0	0	NA
